症	3-5-5
省	2-4-5
硝	1-5-7
礁	1-5-12
祥	1-4-6
称	1-5-5
章	2-2-9
笑	2-6-4
粧	1-6-6
紹	1-6-5
肖	2-3-4
菖	2-3-8
蒋	2-3-10
蕉	2-3-12
衝	1-3-12
裳	2-5-9
訟	1-7-4
証	1-7-5
詔	1-7-5
詳	1-7-6
象	2-2-10
賞	2-5-10
醤	2-10-7
鉦	1-8-5
鍾	1-8-9
鐘	1-8-12
障	1-3-11
鞘	1-9-7
上	4-3-2
丈	4-3-4
丞	2-5-1
乗	4-9-3
冗	2-2-2
剰	1-9-2
城	1-3-6
場	1-3-9
壌	1-3-13
嬢	1-3-13
常	2-5-6
情	1-3-8
擾	1-3-15
条	2-3-4
杖	1-4-3
浄	1-3-6
状	1-3-4
畳	2-5-7
穣	1-5-13
蒸	2-3-10
譲	1-7-13
醸	1-7-13
錠	1-8-8
嘱	1-3-12
埴	1-3-8
飾	1-8-5
拭	1-3-6
植	1-4-8
殖	1-4-8
燭	1-4-13
織	1-6-12
職	1-6-12
色	2-2-4
触	1-7-6
食	2-2-7
蝕	1-8-6
辱	2-7-3
尻	3-3-2
伸	1-2-5
信	1-2-7
侵	1-2-7
唇	2-7-3
娠	1-3-7
寝	2-3-10
審	2-3-12
心	1-1-3
慎	1-3-10
振	1-3-7
新	1-9-4
晋	2-6-4
森	2-4-8
榛	1-4-10
浸	1-3-7
深	1-3-8
申	4-5-3
疹	3-5-5
真	2-2-8
神	1-4-5
秦	2-5-5
紳	1-6-5
臣	3-3-4
芯	2-3-4
薪	2-3-13
親	1-9-7
診	1-7-5
身	4-7-3
辛	2-2-5
進	3-3-8
針	1-8-2
震	2-8-7
人	4-2-4
仁	1-2-2
刃	3-1-2
塵	3-3-11
壬	4-4-2
尋	2-3-9
甚	2-6-3
尽	3-3-3
腎	2-9-4
訊	1-7-3
迅	3-3-3
陣	1-3-7
靭	1-9-3
笥	2-6-5
諏	1-7-8
須	1-3-9
酢	1-7-5
図	3-3-4
厨	3-2-10
逗	3-3-7
吹	1-3-4
垂	4-8-2
帥	1-6-3
推	1-3-8
水	1-1-3
炊	1-4-4
睡	1-5-8
粋	1-6-4
翠	2-6-8
衰	2-2-8
遂	3-3-9
酔	1-7-4
錐	1-8-8
錘	1-8-8
随	1-3-9
瑞	1-4-9
髄	1-10-9
崇	2-3-8
嵩	2-3-10
数	1-9-4
枢	1-4-4
趨	3-7-10
雛	1-10-8
据	1-3-8
杉	1-4-3
椙	1-4-8
菅	2-3-8
頗	1-5-9
雀	2-4-7
裾	1-5-8
澄	1-3-12
摺	1-3-11
寸	3-2-1
世	4-5-2
瀬	1-3-16
畝	1-7-3
是	2-4-5
凄	1-2-8
制	1-6-2
勢	2-11-2
姓	1-3-5
征	1-3-5
性	1-3-5
成	4-6-4
政	1-5-4
整	2-11-5
星	2-4-5
晴	1-4-8
棲	1-4-8
栖	1-4-6
正	4-5-1
清	1-3-8
牲	1-4-5
生	4-5-2
盛	2-6-5
精	1-6-8
聖	2-9-4
声	2-3-4
製	2-8-6
西	4-6-1
誠	1-7-6
誓	2-7-7
請	1-7-8
逝	3-3-7
醒	1-7-9
青	2-4-4
静	1-8-6
斉	2-2-6
税	1-5-7
脆	1-4-6
隻	2-8-2
席	3-3-7
惜	1-3-8
戚	4-11-4
斥	3-2-3
昔	2-4-4
析	1-4-4
石	3-2-3
積	1-5-11
籍	2-6-14
績	1-6-11
脊	2-6-4
責	2-4-7
赤	2-3-4
跡	1-7-6
蹟	1-7-11
碩	1-5-9
切	1-2-2
拙	1-3-5
接	1-3-8
摂	1-3-10
折	1-3-4
設	1-7-4
窃	2-3-6
節	2-6-7
説	1-7-7
雪	2-8-3
絶	1-6-6
舌	2-3-3
蝉	1-6-9
仙	1-2-3
先	2-4-2
千	4-3-3
占	2-2-3
宣	2-3-6
専	2-6-3
尖	2-3-3
川	1-1-2
戦	1-9-4
扇	2-1-9
撰	1-3-12
栓	1-4-6
栴	1-4-6
泉	2-5-4
浅	1-3-6
洗	1-3-6
染	2-5-4
潜	1-3-12
煎	2-3-10
煽	1-4-10
旋	1-4-7
穿	2-3-7
箭	2-6-9
線	1-6-9
